"","rights","king","church","just","laws","people","power","crown","parliament","subjects","kings","men","law","civil","right","without","religion","same"
"rights",0.101874377848505,0.000235419706658928,0.000241040721669317,0.00104584448870064,0.000985790452998613,0.000264751562583243,0.000242261960304111,0.00120638692582725,0.00057497493266667,0.000996147561991414,0.000388926405677474,0.000101043862452958,0.000220288739435543,0.0014709078685989,0.000312516276889421,0.000130294021036357,0.000320650017340878,0.00010971007919073
"king",0.00798139460139898,0.113934512731944,0.00196622616079986,0.00310435156105501,0.00679537265096794,0.00537596145282318,0.00478353709822997,0.0131791393468016,0.016510155080238,0.0135405987697828,0.00996400515901941,0.00179138600543563,0.00406459588738996,0.00297551351196524,0.00422809430083608,0.00288146517561715,0.00305574389241782,0.00289148935985687
"church",0.0071243320938662,0.00173989876952614,0.113891094959421,0.00199890253921456,0.00429298150104839,0.00325367876566396,0.00489828136897276,0.0019401811888682,0.00154113515676638,0.00174000448516691,0.00181272044659304,0.00274204475322602,0.00197869109413167,0.00559383061139558,0.0032099451651793,0.00293080919843538,0.00550455705773731,0.0029477175822616
"just",0.006977024475384,0.00064841893342696,0.000471027163667081,0.101471494592886,0.00179989026106278,0.000700920611539508,0.000811220344289102,0.000918457719965157,0.000842509700945589,0.00133353623374127,0.000688493352720081,0.000907807685703013,0.00117104712371777,0.000862663034046547,0.00153140579478174,0.000912219402231027,0.00073230058771516,0.000678207762269967
"laws",0.00589676860651457,0.00121565865766119,0.000869124793916643,0.0015595495372046,0.107700110812004,0.00117816478771683,0.00171488560104456,0.00106059998615024,0.00207508059765918,0.00295640577945794,0.0017369776673692,0.000839140181271631,0.00213352819036464,0.00562752838616302,0.00118771392822695,0.000741450382085604,0.00236132765510712,0.000612439532979081
"people",0.00547270121997491,0.00335625293006208,0.00229641893020988,0.00209844825435528,0.00410912943543108,0.103682771505574,0.00333689329237468,0.00207381921690545,0.00294794088156078,0.00285528929326584,0.00384756297607847,0.00159384789946739,0.00237164517589641,0.00285251663406407,0.00207469747321846,0.00185136838554259,0.00268978887871696,0.00147479833726353
"power",0.00470937992420353,0.00280626378778131,0.00324909685099463,0.00228033425239017,0.00562716088772648,0.00313492691270803,0.108119196348448,0.00226091245615762,0.00391522520132553,0.00458728455180368,0.0046275433935914,0.00205685098019424,0.00304423407656768,0.00875131210710501,0.00361864954188992,0.00236206289621356,0.00239374416112331,0.0020804442289752
"crown",0.00435227054606488,0.00139590187057193,0.000242907028626852,0.000474992825949233,0.000629532364759637,0.000353408767872256,0.000408965900817217,0.104503723033972,0.000881291001389382,0.00115032517460114,0.00113358856096804,0.000128235770987419,0.000341667346419429,0.000343717302627921,0.00155383701173609,0.000295257862026694,0.00029370135571296,0.00027087837734312
"parliament",0.00417817972422228,0.00373272151269338,0.000396805571586654,0.000889152159312471,0.00261041318069081,0.00106307309461229,0.00149297451140049,0.00188551108648932,0.107747379733005,0.00226661113602871,0.00248291638635456,0.00048342346340059,0.00135226025527118,0.000999139021854692,0.00111167590465288,0.00108411720721216,0.000895554798736459,0.000869296991110737
"subjects",0.00416032425531535,0.00174104035215541,0.000253530622077435,0.000819715950603204,0.00211036417731924,0.000587455656146689,0.000996759665093949,0.00137890147111171,0.00129495820612317,0.101117487345422,0.00269737908707824,0.000321541673292711,0.000722654523270257,0.0010833834587733,0.000836798449432623,0.000533108952408657,0.00112950042649186,0.000442743046852708
"kings",0.00391927542507176,0.00298904385097933,0.000614876361470926,0.000992384752791735,0.00291158718701332,0.00184878740937546,0.00236329898005333,0.00321946158453395,0.00329472439422485,0.00628023483052476,0.106925400596325,0.000811207637096154,0.00130072929737661,0.00139845765284889,0.00153672845643192,0.000917863326409582,0.00090961497002059,0.000815092406530337
"men",0.00388802835448462,0.00214731692566217,0.00371624783867298,0.00520587221402575,0.00560999182323303,0.00305908026689886,0.00419639282982537,0.00142749711767071,0.00256012787712285,0.00297943230601653,0.00322374885056077,0.10600961281579,0.00366700157718922,0.00512206176465137,0.00293924980125562,0.0036424274098629,0.00629114552902176,0.00303776946544451
"law",0.00378535940826976,0.00211585998209998,0.00116457554150179,0.0029236945224663,0.00621162445819082,0.00198238324395087,0.00269605736520742,0.0016814093709415,0.00311599318348389,0.00294539309284296,0.00226079430346217,0.00159416531474211,0.118980585772669,0.0121985944658144,0.00313732885266606,0.00249413072199174,0.00201451009676522,0.00166386392827996
"civil",0.00375857620490936,0.000230219163570018,0.000484952684811764,0.0003293611315767,0.00242012271588847,0.000353815452300187,0.00113921575971424,0.00024905268861489,0.000337790747343762,0.000652751970269751,0.000358714398234257,0.000330006080618613,0.00178893017335405,0.102284540640359,0.000513256659124962,0.000247203879020711,0.000868996697421989,0.000203953783581186
"right",0.00351752737466577,0.00141873352315738,0.00121223814995575,0.0024732808854407,0.00222697074033721,0.00111492535917352,0.00206409788162591,0.0049178794317711,0.00167602663657088,0.00218852117639521,0.00171868025441063,0.00082453907863445,0.00201923203730939,0.00224595668825009,0.107568710809527,0.00113346123003039,0.000974057421739524,0.00104231802509137
"without",0.00345056936626477,0.00227187627476727,0.00260909712663381,0.00345890636127844,0.00327142216368843,0.00233558866960916,0.00316910685874136,0.00219044876864706,0.00381349454363964,0.00328378291792145,0.00240504600097274,0.00239288795103256,0.00377250571847099,0.00253407266251173,0.0026613308250924,0.107781536272936,0.00268432103432869,0.00201279690741886
"religion",0.00341932229567764,0.000998123745527533,0.0020232203040415,0.00114600468356445,0.00427509705886771,0.0014055013829304,0.0013303840447442,0.000902664134833481,0.00130395097144347,0.00287531235983853,0.000985081651141524,0.00170854061873336,0.00125994413164963,0.00368822144829666,0.000945152633025671,0.00111120804326923,0.105192343143167,0.00105807349100941
"same",0.00331218948223604,0.00254167030281875,0.00292579506112012,0.00285487279348012,0.00299743250948054,0.00207531063573316,0.00311216772061805,0.00222446572123836,0.00340713396072859,0.00303149227910553,0.00239568453387766,0.002226456541987,0.00280562864593738,0.00233188601390707,0.00272824428583758,0.0022403153889333,0.0028557770119324,0.110541071608737
